384;居;8;Shikabane;キョ、い-る
385;拒;8;Tehen;キョ、こば-む
386;拠;8;Tehen;キョ、コ
387;挙;10;Te;キョ、あ-げる、あ-がる
388;虚;11;Toragashira;キョ、[コ]
389;許;11;"Gon, Gonben";キョ、ゆる-す
390;距;12;"Ashi, Ashihen";キョ
391;魚;11;"Uo, Uohen";ギョ、うお、さかな
392;御;12;Gyooninben;ギョ、ゴ、おん
393;漁;14;"Mizu, Sanzui, Shitamizu";ギョ、リョウ
394;凶;4;Ukebako;キョウ
395;共;6;Hachi;キョウ、とも
396;叫;6;"Kuchi, Kuchihen";キョウ、さけ-ぶ
397;狂;7;"Inu, Kemonohen";キョウ、くる-う、くる-おしい
398;京;8;Nabebuta;キョウ、ケイ
399;享;8;Nabebuta;キョウ
400;供;8;"Hito, Ninben, Hitoyane";キョウ、[ク]、そな-える、とも
401;協;8;Juu;キョウ
402;況;8;"Mizu, Sanzui, Shitamizu";キョウ
403;峡;9;"Yama, Yamahen";キョウ
404;挟;9;Tehen;キョウ、はさ-む、はさ-まる
405;狭;9;"Inu, Kemonohen";キョウ、せま-い、せば-める、せば-まる
406;恐;10;"Kokoro, Risshinben, Shitagokoro";キョウ、おそ-れる、おそ-ろしい
407;恭;10;"Kokoro, Risshinben, Shitagokoro";キョウ、うやうや-しい
408;胸;10;"Niku, Nikuzuki";キョウ、むね、[むな]
409;脅;10;"Niku, Nikuzuki";キョウ、おびや-かす、おど-す、おど-かす
410;強;11;"Yumi, Yumihen";キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる
411;教;11;Nobun;キョウ、おし-える、おそ-わる
412;郷;11;Oozato;キョウ、ゴウ
413;境;14;"Tsuchi, Tsuchihen";キョウ、[ケイ]、さかい
414;橋;16;"Ki, Kihen";キョウ、はし
415;矯;17;"Ya, Yahen";キョウ、た-める
416;鏡;19;"Kane, Kanehen";キョウ、かがみ
417;競;20;Tatsu;キョウ、ケイ、きそ-う、せ-る
418;響;20;Oto;キョウ、ひび-く
419;驚;22;"Uma, Umahen";キョウ、おどろ-く、おどろ-かす
